Player,16.470005,12.043478
Block,5,13,0
Block,5,12,0
Block,5,11,0
Block,5,10,0
Block,5,14,0
Block,6,14,0
Block,7,14,0
Block,8,14,0
Block,9,14,0
Block,10,14,0
Block,11,14,0
Block,12,14,0
Block,13,14,0
Block,14,14,0
Block,15,14,0
Block,16,14,0
Block,17,14,0
Block,18,14,0
Block,19,14,0
Block,20,14,0
Block,21,14,0
Block,6,10,0
Block,7,10,0
Block,8,10,0
Block,9,10,0
Block,10,10,0
Block,11,10,0
Block,12,10,0
Block,13,10,0
Block,14,10,0
Block,15,10,0
Block,16,10,0
Block,17,10,0
Block,18,10,0
Block,19,10,0
Block,20,10,0
Block,21,10,0
Block,22,10,0
Block,23,10,0
Block,24,10,0
Block,22,14,0
Block,23,14,0
Block,24,14,0
Block,25,14,0
Block,25,10,0
Hole,28.75,11.75,4.0
Hole,28.75,11.75,4.0
Hole,28.75,11.75,4.0
Hole,28.75,11.75,4.0
Hole,28.75,11.75,4.0
Hole,28.75,11.75,4.0
Hole,28.75,11.75,4.0
Hole,28.75,11.75,4.0
Spike,26.0,13.0,180.0
Spike,26.0,12.0,180.0
Spike,26.0,11.0,180.0
Coin,25.589685,12.329532
Block,26,14,0
Block,27,14,0
Block,27,13,0
Block,27,12,0
Block,27,11,0
Block,27,10,0
Block,26,10,0
Win,6.0,13.0
Win,6.0,12.0
Win,6.0,11.0
Block,16,15,0
Block,16,9,0
Block,18,15,0
Block,18,9,0
Block,20,15,0
Block,20,9,0
Block,22,15,0
Block,22,9,0
Block,14,15,0
Block,14,9,0
Block,12,15,0
Block,12,9,0
Block,10,15,0
Block,10,9,0
Block,8,15,0
Block,8,9,0
